ID,RED,IR,RED 4xS,IR 4xS
326,231062,248212,231237,248337
327,231325,248121,231342,248455
328,231432,248640,231395,248675
329,231130,248376,231393,248728
330,231479,248684,231531,248902
331,231537,248998,231577,249055
332,231424,248855,231573,249086
333,231683,249071,231655,249247
334,231663,249294,231674,249345
335,231522,249122,231581,249158
336,231753,249502,231321,248537
337,231759,249462,230961,247705
338,231291,248544,230600,246945
339,230482,246639,230386,246432
340,230313,246174,230392,246414
341,230314,246422,230465,246597
342,230435,246492,230560,246764
343,230504,246567,230650,246955
344,230606,246907,230715,247136
345,230694,247090,230778,247286
346,230794,247257,230865,247469
347,230766,247290,230930,247668
348,230856,247506,231029,247916
349,231042,247822,231140,248130
350,231056,248053,231203,248308
351,231161,248284,231248,248441
352,231301,248361,231316,248545
353,231293,248532,231360,248666
354,231237,248587,231376,248756
355,231431,248698,231473,248901
356,231480,248848,231526,249046
357,231354,248890,231549,249166
358,231626,249167,231619,249310
359,231644,249279,231649,249384
360,231571,249326,231675,249467
361,231633,249469,231637,249366
362,231748,249461,231417,248799
363,231746,249611,231023,248037
364,231422,248922,230731,247350
365,230752,247201,230562,246914
366,230173,246413,230471,246863
367,230577,246862,230689,247161
368,230744,247181,230649,247336
369,230390,246996,230754,247580
370,231046,247604,230807,247696
371,230416,247562,230862,247910
372,231162,248159,230965,248007
373,230602,247458,231042,248181
374,231266,248460,231098,248411
375,230831,247952,231169,248553
376,231467,248852,231208,248695
377,230829,248379,231247,248792
378,231550,249028,231293,248870
379,230986,248520,231311,248974
380,231622,249242,231346,249071
381,231015,248689,231329,249128
382,231619,249444,231457,249345
383,231128,248909,231391,249344
384,231552,249468,231528,249537
385,231527,249559,231528,249637
386,231356,249440,231443,249496
387,231677,249680,231265,249045
388,231552,249868,230966,248451
389,231185,248994,230705,247834
390,230644,247637,230583,247505
391,230482,247303,230579,247563
392,230508,247402,230665,247752
393,230696,247676,230762,247944
394,230630,247870,230804,248048
395,230824,248061,230861,248135
396,230896,248167,230912,248226
397,230865,248095,230956,248367
398,230859,248215,231031,248542
399,231029,248426,231114,248706
400,231069,248733,231182,248858
401,231166,248794,231236,248947
402,231193,248869,231263,249048
403,231299,249034,231306,249155
404,231284,249089,231335,249265
405,231276,249201,231344,249317
406,231365,249295,231399,249433
407,231416,249474,231435,249564
408,231317,249299,231480,249626
409,231499,249664,231476,249630
410,231508,249819,231237,249139
411,231597,249721,230974,248491
412,231299,249315,230681,247894
413,230544,247702,230507,247465
414,230455,247227,230489,247426
415,230425,247332,230545,247600
416,230603,247599,230645,247833
417,230471,247547,230674,247972
418,230681,247922,230749,248147
419,230823,248264,230829,248289
420,230720,248153,230862,248366
421,230770,248250,230935,248518
422,231001,248487,230994,248651
423,230955,248574,231060,248798
424,231012,248762,231120,248942
425,231008,248782,231122,249015
426,231265,249073,231157,249128
427,231193,249151,231163,249203
428,231023,249054,231223,249335
429,231147,249232,231299,249484
430,231287,249374,231340,249575
431,231433,249679,231371,249646
432,231330,249652,231391,249673
433,231308,249593,231460,249758
434,231411,249660,231492,249814
435,231515,249785,231303,249511
436,231605,249995,230966,248863
437,231436,249814,230674,248208
438,230654,248449,230412,247681
439,230169,247195,230339,247388
440,230436,247372,230454,247575
441,230390,247707,230441,247703
442,230362,247277,230529,247783
443,230628,247945,230592,248024
444,230382,247884,230606,248070
445,230742,248024,230739,248245
446,230615,248243,230769,248413
447,230684,248128,230874,248545
448,230915,248584,230942,248759
449,230862,248697,230987,248846
450,231034,248771,231040,248947
451,230957,248985,231056,249050
452,231096,248929,231093,249108
453,231072,249101,231141,249233
454,231100,249184,231168,249317
455,231103,249216,231204,249399
456,231289,249429,231271,249523
457,231181,249440,231311,249618
458,231244,249510,231335,249684
459,231371,249712,231395,249771
460,231449,249810,231363,249701
461,231274,249704,231079,249159
462,231486,249857,230778,248457
463,231241,249434,230462,247818
464,230314,247640,230240,247303
465,230071,246896,230238,247248
466,230222,247302,230320,247407
467,230351,247375,230376,247555
468,230306,247420,230394,247644
469,230401,247531,230470,247800
470,230447,247894,230524,247933
471,230423,247731,230605,248054
472,230610,248044,230663,248250
473,230616,248062,230743,248439
474,230771,248377,230828,248651
475,230654,248517,230825,248758
476,230929,248800,230914,248903
477,230958,248909,230918,249011
478,230757,248805,230909,249076
479,231011,249096,230997,249230
480,230946,249233,230981,249312
481,230923,249171,231074,249401
482,231108,249419,231083,249526
483,230946,249424,231125,249594
484,231317,249589,231215,249737
485,230959,249670,231058,249599
486,231278,249691,230922,249102
487,231304,249998,230615,248470
488,230690,249035,230273,247790
489,230417,247684,230127,247351
490,230048,247162,230133,247393
491,229938,247277,230158,247544
492,230105,247281,230316,247770
493,230439,247853,230387,247992
494,230148,247765,230363,248005
495,230571,248180,230522,248218
496,230390,248168,230467,248264
497,230341,247905,230572,248415
498,230784,248620,230664,248665
499,230351,248362,230633,248724
500,230811,248773,230748,248878
501,230709,248904,230767,248983
502,230661,248855,230808,249089
503,230811,248979,230862,249175
504,230887,249195,230931,249320
505,230874,249326,230952,249379
506,230875,249198,231031,249493
507,231088,249562,231061,249607
508,230971,249430,230959,249400
509,231189,249782,230707,248880
510,230995,249653,230402,248205
511,230681,248736,230173,247661
512,229962,247350,230008,247355
